fold,test_speaker,wa,ua,macro_f1,best_epoch,checkpoint
0,03,0.8775510204081632,0.7500000000000001,0.7396453443037293,34,outputs_formal/EMODB/CFIF-GF/fold_00_03/best.pt
1,08,0.5862068965517241,0.4714285714285714,0.41647361647361647,11,outputs_formal/EMODB/CFIF-GF/fold_01_08/best.pt
2,09,0.9069767441860465,0.8928571428571429,0.8979591836734694,39,outputs_formal/EMODB/CFIF-GF/fold_02_09/best.pt
3,10,0.8157894736842105,0.7142857142857143,0.7044217687074831,22,outputs_formal/EMODB/CFIF-GF/fold_03_10/best.pt
4,11,0.8545454545454545,0.8727272727272728,0.8682878948680921,42,outputs_formal/EMODB/CFIF-GF/fold_04_11/best.pt
5,12,0.9142857142857143,0.9071428571428571,0.9034013605442175,34,outputs_formal/EMODB/CFIF-GF/fold_05_12/best.pt
6,13,0.8360655737704918,0.8375850340136054,0.8216355073497931,36,outputs_formal/EMODB/CFIF-GF/fold_06_13/best.pt
7,14,0.9130434782608695,0.8877551020408163,0.8985807656395891,42,outputs_formal/EMODB/CFIF-GF/fold_07_14/best.pt
8,15,0.9642857142857143,0.9642857142857143,0.9591836734693878,36,outputs_formal/EMODB/CFIF-GF/fold_08_15/best.pt
9,16,0.7605633802816901,0.7265306122448979,0.7396854204476709,47,outputs_formal/EMODB/CFIF-GF/fold_09_16/best.pt
